,Close
0,5.875
1,5.550000190734863
2,5.49399995803833
3,5.474999904632568
4,5.5
5,5.61299991607666
6,5.474999904632568
7,5.482999801635742
8,5.324999809265137
9,5.400000095367432
10,5.3379998207092285
11,5.36299991607666
12,5.324999809265137
13,5.313000202178955
14,5.199999809265137
15,5.163000106811523
16,5.163000106811523
17,5.224999904632568
18,5.188000202178955
19,5.188000202178955
20,5.10099983215332
21,5.199999809265137
22,5.300000190734863
23,5.449999809265137
24,5.5879998207092285
25,5.625
26,5.75
27,5.625
28,5.4629998207092285
29,5.288000106811523
30,5.2129998207092285
31,5.313000202178955
32,5.73799991607666
33,5.688000202178955
34,5.563000202178955
35,5.550000190734863
36,5.525000095367432
37,5.563000202178955
38,5.7129998207092285
39,5.86299991607666
40,5.75
41,5.775000095367432
42,5.875
43,5.8379998207092285
44,6.038000106811523
45,6.038000106811523
46,6.038000106811523
47,6.181000232696533
48,6.39900016784668
49,6.2129998207092285
50,6.2129998207092285
51,5.813000202178955
52,5.888000011444092
53,5.925000190734863
54,5.86299991607666
55,5.688000202178955
56,5.800000190734863
57,5.814000129699707
58,5.813000202178955
59,5.813000202178955
60,6.25
61,5.98799991607666
62,5.9629998207092285
63,5.824999809265137
64,5.900000095367432
65,5.849999904632568
66,5.818999767303467
67,6.063000202178955
68,6.150000095367432
69,6.188000202178955
70,6.050000190734863
71,5.900000095367432
72,6.0370001792907715
73,5.900000095367432
74,5.900000095367432
75,5.25
76,5.413000106811523
77,5.0879998207092285
78,5.099999904632568
79,5.099999904632568
80,5.0
81,5.449999809265137
82,5.36899995803833
83,5.375
84,5.375999927520752
85,5.375999927520752
86,5.50600004196167
87,5.48799991607666
88,5.474999904632568
89,5.48799991607666
90,5.49399995803833
91,5.499000072479248
92,5.400000095367432
93,5.311999797821045
94,5.306000232696533
95,5.400000095367432
96,5.574999809265137
97,5.513000011444092
98,5.538000106811523
99,5.413000106811523
100,5.25600004196167
101,5.324999809265137
102,5.23799991607666
103,5.313000202178955
104,5.250999927520752
105,5.300000190734863
106,5.315999984741211
107,5.23799991607666
108,5.5
109,5.813000202178955
110,5.789999961853027
111,5.789999961853027
112,6.24399995803833
113,6.276000022888184
114,6.275000095367432
115,6.23799991607666
116,6.23199987411499
117,6.163000106811523
118,6.168000221252441
119,6.288000106811523
120,6.324999809265137
121,6.36299991607666
122,6.438000202178955
123,6.438000202178955
124,6.43874979019165
125,6.5625
126,6.625
127,6.862500190734863
128,6.650000095367432
129,6.8125
130,7.0
131,7.150000095367432
132,6.974999904632568
133,6.974999904632568
134,6.706250190734863
135,6.731249809265137
136,6.40625
137,6.3125
138,6.054999828338623
139,6.1875
140,6.1875
